date,home,score,away,location
2011-04-09,Barcelona,3–1,Almería,Barcelona
2011-04-16,Real Madrid,1–1,Barcelona,Madrid
2011-04-23,Barcelona,2–0,Osasuna,Barcelona
2011-04-30,Real Sociedad,2–1,Barcelona,San Sebastián
2011-05-08,Barcelona,2–0,Espanyol,Barcelona
2011-05-11,Levante,1–1,Barcelona,Valencia
2011-05-15,Barcelona,0–0,Deportivo La Coruña,Barcelona
2011-05-21,Málaga,1–3,Barcelona,Málaga
2010-10-26,Ceuta,0-2,Barcelona,Ceuta
2010-11-10,Barcelona,5-1,Ceuta,Barcelona
2010-12-21,Barcelona,0-0,Athletic Bilbao,Barcelona
2011-01-05,Athletic Bilbao,1-1,Barcelona,Bilbao
2011-01-12,Barcelona,5-0,Real Betis,Barcelona
2011-01-19,Real Betis,3-1,Barcelona,Seville
2011-01-26,Barcelona,5-0,Almería,Barcelona
2011-02-02,Almería,0-3,Barcelona,Almeria
2011-04-20,Barcelona,0-1,Real Madrid,Valencia
2010-09-16,Barcelona,5-1,Panathinaikos,Barcelona
2010-09-29,Rubin Kazan,1-1,Barcelona,Kazan
2010-10-20,Barcelona,2-0,Copenhagen,Barcelona
2010-11-02,Copenhagen,1-1,Barcelona,Copenhagen
2010-11-24,Panathinaikos,0-3,Barcelona,Athens
2010-12-07,Barcelona,2-0,Rubin Kazan,Barcelona
2011-02-16,Arsenal,2-1,Barcelona,London
2011-03-08,Barcelona,3-1,Arsenal,Barcelona
2011-04-06,Barcelona,5-1,Shakhtar Donetsk,Barcelona
2011-04-12,Shakhtar Donetsk,0-1,Barcelona,Donetsk
2011-04-27,Real Madrid,0-2,Barcelona,Madrid
2011-05-03,Barcelona,1-1,Real Madrid,Barcelona
2011-05-28,Barcelona,3-1,Manchester United,London
