Date;Heure;Dept;Com;Adresse;Code postal;Carr;Segm;Lieu 1 NomV;Lieu 2 NomV;Véhicule 1 Cadmin;Véhicule 1 LVeh;Véhicle 2 CAdmin;Véhicule 2 LVeh;Véhicule 3 CAdmin;Véhicule 3 LVeh;Usager 1 CatU;Usager 1 Grav;Usager 1 Lveh;Usager 2 CatU;Usager 2 Grav;Usager 2 Lveh;Usager 3 CatU;Usager 3 Grav;Usager 3 Lveh;Usager 4 CatU;Usager 4 Grav;Usager 4 Lveh;Coordonnées
2012-11-20;15:35;75;116;91, AVENUE VICTOR HUGO;75116;1_75116_1422;;AVENUE VICTOR HUGO;PLACE VICTOR HUGO;Moto>125;Z;;;;;Piéto;BL;Z;;;;;;;;;;48.871557, 2.290113
2013-01-11;03:55;75;116;2, PLACE VICTOR HUGO;75116;1_75116_1437;;PLACE VICTOR HUGO;AVENUE RAYMOND POINCARE;VL;A;;;;;Cond;BL;A;Pass;BL;A;;;;;;;48.869866, 2.285599
2012-11-29;14:30;75;116;8-6, RUE DURET;75116;1_75116_1451;;RUE DURET;RUE PICCINI;VU;A;VU;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.874504, 2.285958
2012-12-09;08:35;75;116;14, RUE BENJAMIN FRANKLI;75116;1_75116_1458;;RUE BENJAMIN FRANKLIN;AVENUE DE CAMOENS;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;;48.85967, 2.285545
2013-06-21;17:05;75;116;3, PLACE VICTOR HUGO;75116;1_75116_1467;;PLACE VICTOR HUGO;RUE COPERNIC;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.869454, 2.285955
2012-11-05;09:00;75;116;RUE BENJAMIN FRANKLIN;75116;1_75116_1485;;RUE BENJAMIN FRANKLIN;AVENUE PAUL DOUMER;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.859924, 2.285496
2012-03-19;18:30;75;116;AVENUE DE LA PORTE DE SA;75116;1_75116_149;;AVENUE DE LA PORTE DE SAINT CLOUD;AVENUE EDOUARD VAILLANT;VL;A;VL;B;;;Cond;Indem;A;Pass;BL;A;Cond;BL;B;;;;48.838755, 2.254438
2013-02-23;13:15;75;118;74, RUE ORDENER;75118;;;RUE ORDENER;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.892388, 2.345658
2012-06-01;13:20;75;118;62, RUE DE LA CHAPELLE;75118;;;RUE DE LA CHAPELLE;;Moto>125;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.894821, 2.359436
2012-11-14;18:30;75;118;7, RUE BELLIARD;75118;;;RUE BELLIARD;;VU;A;Bicy;B;;;Cond;Indem;A;Cond;BH;B;;;;;;;48.897902, 2.351648
